Folder,Count,Width,Height,Size_GB,Uncompressed_Size_GB
Run 1/Slices CB-LULL-R,2904,2262,2859,11.7346,150.24
Run 1/Slices CB-LULL-L,2792,2600,2600,10.0271,150.99
Run 1/Slices CB-LLRL-L,2095,2253,2165,4.7008,81.75
Run 1/Slices CA-LL-L1,1494,1119,1208,0.5206,16.16
Run 1/Slices CA-RU-R,2330,1730,1771,3.2114,57.11
Run 1/Slices CB-LURU-L,2653,3000,3000,12.3224,191.02
Run 1/Slices CA-LU-R,2465,2400,2400,7.3855,113.59
Run 1/Slices CA-NM-L,609,1120,1083,0.1838,5.91
Run 1/Slices CA-RL-R,2726,2705,2541,10.2296,149.9
Run 1/Slices CA-RL-L,2490,2338,2234,7.3948,104.04
Run 1/Slices CA-LL-L2,1839,1413,1531,1.0043,31.83
Run 1/Slices CA-LU-L,2731,2485,2498,9.0413,135.62
Run 1/Slices CB-LURU-R,2614,2352,2371,8.2141,116.62
Run 1/Slices CB-RURL-L,2537,2405,1677,5.7146,81.86
Run 1/Slices CB-RURL-R,2353,2441,1710,5.4744,78.57
Run 1/Slices CA-NM-R,2588,1618,3000,6.3901,100.5
Run 1/Slices CA-LL-R,2908,2482,2544,11.2665,146.89
Run 2/Slices CB-LULL-R,1787,1721,1754,1.6339,43.15
Run 2/Slices CB-LULL-L,2049,1629,1680,1.6297,44.86
Run 2/Slices CB-LLRL-R,1876,2060,2480,5.2545,76.67
Run 2/Slices CB-LLRL-L,2122,2577,2494,8.5893,109.11
Run 2/Slices CA-RU-R,1332,1374,1353,0.7003,19.81
Run 2/Slices CB-LURU-L,1963,1565,1670,1.4735,41.04
Run 2/Slices CA-LL-L,1909,1737,1674,1.5784,44.41
Run 2/Slices CA-LU-R,2081,1761,1858,3.2911,54.47
Run 2/Slices CA-NM-L,1915,2700,2700,8.0283,111.68
Run 2/Slices CA-LU-L,1925,2358,2124,5.4271,77.13
Run 2/Slices CB-LURU-R,1746,2419,2417,5.0469,81.67
Run 2/Slices CB-RURL-L,2022,2221,2307,5.9793,82.88
Run 2/Slices CB-RURL-R,1788,1537,1343,1.0444,29.53
Run 2/Slices CA-NM-R,2581,2656,2701,10.0265,148.13
Run 2/Slices CA-RU-L,1992,1932,1756,3.5838,54.06
Run 2/Slices CA-LL-R,854,597,698,0.0966,2.85
