label,type,threshold_value,elapsed_s,vessel_seeds_correct,vessel_seeds_total,bg_seeds_correct,bg_seeds_total,pred_gt_dice,pred_gt_cldice,pred_gt_iou,pred_gt_precision,pred_gt_recall,pred_gt_vol,tp,fp,tn,fn,gt_voxels,pred_voxels,cl_len_gt_mm,cl_len_pred_mm,cl_match_pred_mm,variant,vessel_size,vessel_std,structure_strength,ridge_threshold,ridge_iterations,auto_seed_rounds,auto_seed_max
default_frangi_0.000,frangi,0.0,0.00,7,7,1,3,0.0135,0.0075,0.0068,0.0068,0.8517,125.009,2251,328147,525065,392,2643,330398,1.37,430.18,1.61,default,4,3,4,0.01,3,2,200
default_frangi_0.020,frangi,0.02,0.00,7,7,1,3,0.0138,0.0073,0.0069,0.0070,0.8498,122.209,2246,320752,532460,397,2643,322998,1.37,431.78,1.58,default,4,3,4,0.01,3,2,200
default_frangi_0.040,frangi,0.04,0.00,7,7,1,3,0.0143,0.0074,0.0072,0.0072,0.8456,117.668,2235,308761,544451,408,2643,310996,1.37,433.67,1.60,default,4,3,4,0.01,3,2,200
default_frangi_0.060,frangi,0.06,0.00,7,7,1,3,0.0148,0.0074,0.0075,0.0075,0.8403,112.610,2221,295408,557804,422,2643,297629,1.37,431.74,1.61,default,4,3,4,0.01,3,2,200
default_frangi_0.080,frangi,0.08,0.00,7,7,1,3,0.0154,0.0078,0.0077,0.0078,0.8331,107.344,2202,281508,571704,441,2643,283710,1.37,426.61,1.67,default,4,3,4,0.01,3,2,200
default_frangi_0.100,frangi,0.1,0.00,7,7,1,3,0.0161,0.0078,0.0081,0.0081,0.8263,101.935,2184,267229,585983,459,2643,269413,1.37,421.81,1.65,default,4,3,4,0.01,3,2,200
default_frangi_0.120,frangi,0.12,0.00,7,7,1,3,0.0168,0.0080,0.0085,0.0085,0.8191,96.496,2165,252875,600337,478,2643,255040,1.37,412.91,1.65,default,4,3,4,0.01,3,2,200
default_frangi_0.140,frangi,0.14,0.00,7,7,2,3,0.0176,0.0080,0.0089,0.0089,0.8123,91.057,2147,238516,614696,496,2643,240663,1.37,402.57,1.63,default,4,3,4,0.01,3,2,200
default_frangi_0.160,frangi,0.16,0.00,7,7,2,3,0.0186,0.0080,0.0094,0.0094,0.8048,85.732,2127,224462,628750,516,2643,226589,1.37,392.20,1.58,default,4,3,4,0.01,3,2,200
default_frangi_0.180,frangi,0.18,0.00,7,7,2,3,0.0195,0.0083,0.0099,0.0099,0.7961,80.486,2104,210621,642591,539,2643,212725,1.37,379.87,1.59,default,4,3,4,0.01,3,2,200
