label,type,threshold_value,elapsed_s,vessel_seeds_correct,vessel_seeds_total,bg_seeds_correct,bg_seeds_total,pred_gt_dice,pred_gt_cldice,pred_gt_iou,pred_gt_precision,pred_gt_recall,pred_gt_vol,tp,fp,tn,fn,gt_voxels,pred_voxels,cl_len_gt_mm,cl_len_pred_mm,cl_match_pred_mm,variant,vessel_size,vessel_std,structure_strength,ridge_threshold,ridge_iterations,auto_seed_rounds,auto_seed_max
default_frangi_0.000,frangi,0.0,0.00,9,9,7,7,0.0054,0.0035,0.0027,0.0027,0.7135,263.724,11383,4196072,6865849,4571,15954,4207455,5.29,4952.98,8.66,default,4,3,4,0.01,3,2,200
default_frangi_0.020,frangi,0.02,0.00,9,9,7,7,0.0055,0.0034,0.0027,0.0027,0.7067,257.248,11274,4092854,6969067,4680,15954,4104128,5.29,4986.48,8.48,default,4,3,4,0.01,3,2,200
default_frangi_0.040,frangi,0.04,0.00,9,9,7,7,0.0056,0.0034,0.0028,0.0028,0.6951,247.123,11090,3931506,7130415,4864,15954,3942596,5.29,4994.83,8.44,default,4,3,4,0.01,3,2,200
default_frangi_0.060,frangi,0.06,0.00,9,9,7,7,0.0058,0.0035,0.0029,0.0029,0.6852,235.990,10932,3754053,7307868,5022,15954,3764985,5.29,4964.33,8.65,default,4,3,4,0.01,3,2,200
default_frangi_0.080,frangi,0.08,0.00,9,9,7,7,0.0060,0.0035,0.0030,0.0030,0.6729,224.523,10735,3571302,7490619,5219,15954,3582037,5.29,4907.71,8.60,default,4,3,4,0.01,3,2,200
default_frangi_0.100,frangi,0.1,0.00,9,9,7,7,0.0062,0.0036,0.0031,0.0031,0.6580,212.816,10498,3384766,7677155,5456,15954,3395264,5.29,4825.57,8.77,default,4,3,4,0.01,3,2,200
default_frangi_0.120,frangi,0.12,0.00,9,9,7,7,0.0064,0.0036,0.0032,0.0032,0.6447,201.213,10286,3199861,7862060,5668,15954,3210147,5.29,4722.68,8.60,default,4,3,4,0.01,3,2,200
default_frangi_0.140,frangi,0.14,0.00,9,9,7,7,0.0066,0.0038,0.0033,0.0033,0.6314,189.869,10074,3019101,8042820,5880,15954,3029175,5.29,4601.41,8.68,default,4,3,4,0.01,3,2,200
default_frangi_0.160,frangi,0.16,0.00,9,9,7,7,0.0069,0.0038,0.0034,0.0035,0.6176,178.799,9853,2842714,8219207,6101,15954,2852567,5.29,4474.57,8.52,default,4,3,4,0.01,3,2,200
default_frangi_0.180,frangi,0.18,0.00,9,9,7,7,0.0071,0.0039,0.0036,0.0036,0.6017,168.194,9599,2673776,8388145,6355,15954,2683375,5.29,4340.31,8.46,default,4,3,4,0.01,3,2,200
