label,type,threshold_value,elapsed_s,vessel_seeds_correct,vessel_seeds_total,bg_seeds_correct,bg_seeds_total,pred_gt_dice,pred_gt_cldice,pred_gt_iou,pred_gt_precision,pred_gt_recall,pred_gt_vol,cl_len_gt_mm,cl_len_pred_mm,cl_match_pred_mm,variant,vessel_size,vessel_std,structure_strength,ridge_threshold,ridge_iterations,auto_seed_rounds,auto_seed_max
default_frangi_0.000,frangi,0.0,0.00,26,27,6,11,0.0424,0.0251,0.0217,0.0219,0.6326,28.847,26.99,3564.17,45.38,default,4,3,4,0.01,3,2,200
default_frangi_0.020,frangi,0.02,0.00,26,27,6,11,0.0431,0.0249,0.0220,0.0223,0.6263,28.058,26.99,3593.14,45.49,default,4,3,4,0.01,3,2,200
default_frangi_0.040,frangi,0.04,0.00,26,27,6,11,0.0443,0.0249,0.0226,0.0230,0.6159,26.830,26.99,3595.51,45.38,default,4,3,4,0.01,3,2,200
default_frangi_0.060,frangi,0.06,0.01,26,27,6,11,0.0456,0.0249,0.0233,0.0237,0.6034,25.482,26.99,3575.78,45.23,default,4,3,4,0.01,3,2,200
default_frangi_0.080,frangi,0.08,0.00,26,27,7,11,0.0470,0.0251,0.0241,0.0245,0.5897,24.082,26.99,3529.40,45.00,default,4,3,4,0.01,3,2,200
default_frangi_0.100,frangi,0.1,0.00,25,27,7,11,0.0487,0.0256,0.0249,0.0254,0.5759,22.664,26.99,3460.72,45.04,default,4,3,4,0.01,3,2,200
default_frangi_0.120,frangi,0.12,0.00,25,27,8,11,0.0504,0.0261,0.0259,0.0264,0.5616,21.274,26.99,3377.08,44.82,default,4,3,4,0.01,3,2,200
default_frangi_0.140,frangi,0.14,0.00,25,27,8,11,0.0523,0.0269,0.0269,0.0275,0.5471,19.922,26.99,3279.28,44.86,default,4,3,4,0.01,3,2,200
default_frangi_0.160,frangi,0.16,0.00,25,27,8,11,0.0543,0.0277,0.0279,0.0286,0.5330,18.630,26.99,3173.32,44.71,default,4,3,4,0.01,3,2,200
default_frangi_0.180,frangi,0.18,0.00,25,27,8,11,0.0564,0.0282,0.0290,0.0298,0.5191,17.398,26.99,3064.27,44.10,default,4,3,4,0.01,3,2,200
default_frangi_0.200,frangi,0.2,0.00,25,27,8,11,0.0587,0.0292,0.0302,0.0312,0.5056,16.230,26.99,2952.41,43.93,default,4,3,4,0.01,3,2,200
default_frangi_0.220,frangi,0.22,0.00,25,27,8,11,0.0610,0.0302,0.0315,0.0325,0.4920,15.123,26.99,2837.92,43.74,default,4,3,4,0.01,3,2,200
default_frangi_0.240,frangi,0.24,0.00,25,27,8,11,0.0635,0.0306,0.0328,0.0340,0.4785,14.070,26.99,2728.75,42.64,default,4,3,4,0.01,3,2,200
default_frangi_0.260,frangi,0.26,0.01,25,27,8,11,0.0663,0.0314,0.0343,0.0357,0.4661,13.070,26.99,2614.15,42.02,default,4,3,4,0.01,3,2,200
default_frangi_0.280,frangi,0.28,0.01,25,27,8,11,0.0691,0.0325,0.0358,0.0374,0.4529,12.118,26.99,2505.87,41.68,default,4,3,4,0.01,3,2,200
default_frangi_0.300,frangi,0.3,0.01,25,27,8,11,0.0721,0.0331,0.0374,0.0393,0.4400,11.207,26.99,2396.17,40.59,default,4,3,4,0.01,3,2,200
default_frangi_0.320,frangi,0.32,0.00,24,27,8,11,0.0754,0.0343,0.0392,0.0413,0.4275,10.345,26.99,2279.29,40.13,default,4,3,4,0.01,3,2,200
default_frangi_0.340,frangi,0.34,0.00,24,27,8,11,0.0790,0.0354,0.0411,0.0437,0.4156,9.517,26.99,2164.83,39.41,default,4,3,4,0.01,3,2,200
default_frangi_0.360,frangi,0.36,0.01,24,27,8,11,0.0830,0.0366,0.0433,0.0462,0.4039,8.734,26.99,2048.93,38.56,default,4,3,4,0.01,3,2,200
default_frangi_0.380,frangi,0.38,0.00,24,27,8,11,0.0872,0.0380,0.0456,0.0491,0.3923,7.996,26.99,1936.48,37.87,default,4,3,4,0.01,3,2,200
default_frangi_0.400,frangi,0.4,0.00,24,27,8,11,0.0919,0.0395,0.0481,0.0522,0.3812,7.299,26.99,1821.51,37.19,default,4,3,4,0.01,3,2,200
default_frangi_0.420,frangi,0.42,0.00,24,27,8,11,0.0968,0.0410,0.0509,0.0557,0.3702,6.649,26.99,1710.04,36.26,default,4,3,4,0.01,3,2,200
default_frangi_0.440,frangi,0.44,0.01,24,27,8,11,0.1019,0.0431,0.0537,0.0594,0.3592,6.048,26.99,1602.47,35.85,default,4,3,4,0.01,3,2,200
default_frangi_0.460,frangi,0.46,0.01,24,27,8,11,0.1074,0.0451,0.0567,0.0635,0.3485,5.490,26.99,1497.08,35.09,default,4,3,4,0.01,3,2,200
default_frangi_0.480,frangi,0.48,0.01,24,27,8,11,0.1129,0.0473,0.0598,0.0678,0.3378,4.983,26.99,1398.52,34.54,default,4,3,4,0.01,3,2,200
default_frangi_0.500,frangi,0.5,0.01,24,27,8,11,0.1187,0.0493,0.0631,0.0725,0.3275,4.518,26.99,1303.93,33.65,default,4,3,4,0.01,3,2,200
default_frangi_0.520,frangi,0.52,0.01,24,27,8,11,0.1247,0.0521,0.0665,0.0776,0.3180,4.101,26.99,1212.31,33.17,default,4,3,4,0.01,3,2,200
default_frangi_0.540,frangi,0.54,0.01,24,27,8,11,0.1308,0.0541,0.0700,0.0830,0.3086,3.718,26.99,1126.23,32.04,default,4,3,4,0.01,3,2,200
default_frangi_0.560,frangi,0.56,0.01,24,27,9,11,0.1374,0.0574,0.0738,0.0892,0.2998,3.363,26.99,1043.21,31.62,default,4,3,4,0.01,3,2,200
default_frangi_0.580,frangi,0.58,0.01,24,27,10,11,0.1443,0.0599,0.0778,0.0959,0.2912,3.036,26.99,960.86,30.53,default,4,3,4,0.01,3,2,200
default_frangi_0.600,frangi,0.6,0.01,24,27,10,11,0.1510,0.0637,0.0817,0.1031,0.2821,2.736,26.99,880.43,29.94,default,4,3,4,0.01,3,2,200
default_frangi_0.620,frangi,0.62,0.01,24,27,10,11,0.1584,0.0685,0.0860,0.1113,0.2742,2.462,26.99,803.90,29.55,default,4,3,4,0.01,3,2,200
default_frangi_0.640,frangi,0.64,0.01,24,27,10,11,0.1657,0.0734,0.0904,0.1203,0.2661,2.211,26.99,729.85,28.96,default,4,3,4,0.01,3,2,200
default_frangi_0.660,frangi,0.66,0.01,24,27,10,11,0.1731,0.0784,0.0948,0.1302,0.2583,1.984,26.99,660.80,28.24,default,4,3,4,0.01,3,2,200
default_frangi_0.680,frangi,0.68,0.01,24,27,11,11,0.1804,0.0836,0.0991,0.1409,0.2506,1.779,26.99,595.07,27.31,default,4,3,4,0.01,3,2,200
default_frangi_0.700,frangi,0.7,0.00,24,27,11,11,0.1876,0.0906,0.1035,0.1527,0.2433,1.594,26.99,535.36,26.94,default,4,3,4,0.01,3,2,200
default_frangi_0.720,frangi,0.72,0.01,24,27,11,11,0.1944,0.0979,0.1077,0.1652,0.2361,1.429,26.99,480.22,26.42,default,4,3,4,0.01,3,2,200
default_frangi_0.740,frangi,0.74,0.01,24,27,11,11,0.2008,0.1057,0.1116,0.1786,0.2293,1.284,26.99,431.35,25.94,default,4,3,4,0.01,3,2,200
default_frangi_0.760,frangi,0.76,0.01,24,27,11,11,0.2063,0.1137,0.1150,0.1923,0.2226,1.158,26.99,387.54,25.44,default,4,3,4,0.01,3,2,200
default_frangi_0.780,frangi,0.78,0.01,24,27,11,11,0.2109,0.1231,0.1179,0.2063,0.2157,1.046,26.99,347.33,25.09,default,4,3,4,0.01,3,2,200
default_frangi_0.800,frangi,0.8,0.01,24,27,11,11,0.2151,0.1324,0.1205,0.2214,0.2093,0.945,26.99,311.12,24.63,default,4,3,4,0.01,3,2,200
default_frangi_0.820,frangi,0.82,0.01,24,27,11,11,0.2194,0.1432,0.1232,0.2378,0.2037,0.857,26.99,277.72,24.27,default,4,3,4,0.01,3,2,200
default_frangi_0.840,frangi,0.84,0.01,24,27,11,11,0.2226,0.1532,0.1253,0.2547,0.1977,0.776,26.99,246.29,23.51,default,4,3,4,0.01,3,2,200
default_frangi_0.860,frangi,0.86,0.00,24,27,11,11,0.2254,0.1668,0.1270,0.2725,0.1922,0.705,26.99,219.34,23.44,default,4,3,4,0.01,3,2,200
default_frangi_0.880,frangi,0.88,0.00,24,27,11,11,0.2274,0.1773,0.1283,0.2911,0.1865,0.641,26.99,193.70,22.63,default,4,3,4,0.01,3,2,200
default_frangi_0.900,frangi,0.9,0.00,24,27,11,11,0.2286,0.1889,0.1290,0.3097,0.1811,0.585,26.99,172.49,22.15,default,4,3,4,0.01,3,2,200
default_frangi_0.920,frangi,0.92,0.00,24,27,11,11,0.2293,0.1998,0.1295,0.3291,0.1759,0.535,26.99,152.50,21.37,default,4,3,4,0.01,3,2,200
default_frangi_0.940,frangi,0.94,0.01,24,27,11,11,0.2293,0.2124,0.1295,0.3486,0.1708,0.490,26.99,134.93,20.89,default,4,3,4,0.01,3,2,200
