label,type,threshold_value,elapsed_s,vessel_seeds_correct,vessel_seeds_total,bg_seeds_correct,bg_seeds_total,pred_gt_dice,pred_gt_cldice,pred_gt_iou,pred_gt_precision,pred_gt_recall,pred_gt_vol,tp,fp,tn,fn,gt_voxels,pred_voxels,cl_len_gt_mm,cl_len_pred_mm,cl_match_pred_mm,variant,vessel_size,vessel_std,structure_strength,ridge_threshold,ridge_iterations,auto_seed_rounds,auto_seed_max
default_frangi_0.000,frangi,0.0,0.00,9,9,7,14,0.0091,0.0045,0.0046,0.0046,0.5960,130.534,16523,3602140,5679252,11199,27722,3618663,4.61,4623.34,10.33,default,4,3,4,0.01,3,2,200
default_frangi_0.020,frangi,0.02,0.00,9,9,7,14,0.0093,0.0044,0.0047,0.0047,0.5931,127.073,16443,3506276,5775116,11279,27722,3522719,4.61,4659.27,10.37,default,4,3,4,0.01,3,2,200
default_frangi_0.040,frangi,0.04,0.00,9,9,7,14,0.0096,0.0045,0.0048,0.0048,0.5882,121.778,16305,3359622,5921770,11417,27722,3375927,4.61,4671.89,10.54,default,4,3,4,0.01,3,2,200
default_frangi_0.060,frangi,0.06,0.00,9,9,8,14,0.0099,0.0046,0.0050,0.0050,0.5812,115.988,16112,3199318,6082074,11610,27722,3215430,4.61,4652.44,10.65,default,4,3,4,0.01,3,2,200
default_frangi_0.080,frangi,0.08,0.00,9,9,8,14,0.0103,0.0045,0.0052,0.0052,0.5736,110.027,15902,3034265,6247127,11820,27722,3050167,4.61,4604.76,10.49,default,4,3,4,0.01,3,2,200
default_frangi_0.100,frangi,0.1,0.00,9,9,8,14,0.0108,0.0045,0.0054,0.0054,0.5652,103.912,15669,2864985,6416407,12053,27722,2880654,4.61,4527.44,10.19,default,4,3,4,0.01,3,2,200
default_frangi_0.120,frangi,0.12,0.00,9,9,8,14,0.0113,0.0046,0.0057,0.0057,0.5568,97.785,15436,2695369,6586023,12286,27722,2710805,4.61,4426.45,10.12,default,4,3,4,0.01,3,2,200
default_frangi_0.140,frangi,0.14,0.00,9,9,8,14,0.0118,0.0047,0.0059,0.0060,0.5487,91.790,15210,2529390,6752002,12512,27722,2544600,4.61,4307.36,10.04,default,4,3,4,0.01,3,2,200
default_frangi_0.160,frangi,0.16,0.00,9,9,8,14,0.0124,0.0046,0.0062,0.0063,0.5392,86.002,14947,2369214,6912178,12775,27722,2384161,4.61,4178.48,9.59,default,4,3,4,0.01,3,2,200
default_frangi_0.180,frangi,0.18,0.00,9,9,8,14,0.0130,0.0049,0.0066,0.0066,0.5304,80.404,14703,2214270,7067122,13019,27722,2228973,4.61,4036.32,9.89,default,4,3,4,0.01,3,2,200
default_frangi_0.200,frangi,0.2,0.00,9,9,8,14,0.0137,0.0051,0.0069,0.0069,0.5216,75.057,14460,2066283,7215109,13262,27722,2080743,4.61,3892.93,9.98,default,4,3,4,0.01,3,2,200
default_frangi_0.220,frangi,0.22,0.00,9,9,8,14,0.0145,0.0053,0.0073,0.0073,0.5133,69.976,14230,1925641,7355751,13492,27722,1939871,4.61,3751.36,9.92,default,4,3,4,0.01,3,2,200
default_frangi_0.240,frangi,0.24,0.00,9,9,9,14,0.0153,0.0055,0.0077,0.0077,0.5045,65.129,13986,1791525,7489867,13736,27722,1805511,4.61,3605.27,9.92,default,4,3,4,0.01,3,2,200
default_frangi_0.260,frangi,0.26,0.00,9,9,9,14,0.0161,0.0057,0.0081,0.0082,0.4952,60.543,13727,1664656,7616736,13995,27722,1678383,4.61,3458.05,9.91,default,4,3,4,0.01,3,2,200
default_frangi_0.280,frangi,0.28,0.00,9,9,9,14,0.0170,0.0059,0.0086,0.0087,0.4867,56.239,13491,1545573,7735819,14231,27722,1559064,4.61,3314.63,9.77,default,4,3,4,0.01,3,2,200
default_frangi_0.300,frangi,0.3,0.00,9,9,9,14,0.0180,0.0061,0.0091,0.0092,0.4779,52.174,13249,1433105,7848287,14473,27722,1446354,4.61,3173.52,9.67,default,4,3,4,0.01,3,2,200
default_frangi_0.320,frangi,0.32,0.00,9,9,9,14,0.0190,0.0063,0.0096,0.0097,0.4685,48.280,12987,1325424,7955968,14735,27722,1338411,4.61,3033.08,9.67,default,4,3,4,0.01,3,2,200
default_frangi_0.340,frangi,0.34,0.00,9,9,9,14,0.0201,0.0065,0.0102,0.0103,0.4594,44.632,12735,1224565,8056827,14987,27722,1237300,4.61,2894.05,9.51,default,4,3,4,0.01,3,2,200
default_frangi_0.360,frangi,0.36,0.00,9,9,9,14,0.0214,0.0068,0.0108,0.0109,0.4506,41.160,12491,1128537,8152855,15231,27722,1141028,4.61,2753.09,9.38,default,4,3,4,0.01,3,2,200
default_frangi_0.380,frangi,0.38,0.00,9,9,10,14,0.0228,0.0070,0.0115,0.0117,0.4423,37.856,12262,1037185,8244207,15460,27722,1049447,4.61,2613.14,9.16,default,4,3,4,0.01,3,2,200
default_frangi_0.400,frangi,0.4,0.00,9,9,10,14,0.0242,0.0075,0.0123,0.0125,0.4334,34.750,12014,951323,8330069,15708,27722,963337,4.61,2472.30,9.26,default,4,3,4,0.01,3,2,200
default_frangi_0.420,frangi,0.42,0.00,9,9,11,14,0.0259,0.0078,0.0131,0.0134,0.4250,31.796,11783,869662,8411730,15939,27722,881445,4.61,2332.00,9.15,default,4,3,4,0.01,3,2,200
default_frangi_0.440,frangi,0.44,0.00,9,9,11,14,0.0277,0.0082,0.0141,0.0143,0.4161,29.010,11534,792675,8488717,16188,27722,804209,4.61,2192.05,9.04,default,4,3,4,0.01,3,2,200
