label,type,threshold_value,elapsed_s,vessel_seeds_correct,vessel_seeds_total,bg_seeds_correct,bg_seeds_total,pred_gt_dice,pred_gt_cldice,pred_gt_iou,pred_gt_precision,pred_gt_recall,pred_gt_vol,tp,fp,tn,fn,gt_voxels,pred_voxels,cl_len_gt_mm,cl_len_pred_mm,cl_match_pred_mm
threshold_1,threshold,1,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_3,threshold,3,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_5,threshold,5,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_7,threshold,7,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_9,threshold,9,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_11,threshold,11,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_13,threshold,13,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_15,threshold,15,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_17,threshold,17,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_19,threshold,19,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_21,threshold,21,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_23,threshold,23,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_25,threshold,25,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_27,threshold,27,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_29,threshold,29,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_31,threshold,31,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_33,threshold,33,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_35,threshold,35,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_37,threshold,37,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_39,threshold,39,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_41,threshold,41,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_43,threshold,43,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_45,threshold,45,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_47,threshold,47,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_49,threshold,49,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_51,threshold,51,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_53,threshold,53,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_55,threshold,55,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_57,threshold,57,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_59,threshold,59,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_61,threshold,61,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_63,threshold,63,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_65,threshold,65,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_67,threshold,67,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_69,threshold,69,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_71,threshold,71,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_73,threshold,73,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_75,threshold,75,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_77,threshold,77,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_79,threshold,79,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_81,threshold,81,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_83,threshold,83,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_85,threshold,85,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_87,threshold,87,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.820,2643,853212,0,0,2643,855855,1.37,0.03,0.00
threshold_89,threshold,89,0.00,7,7,0,3,0.0062,0.0000,0.0031,0.0031,1.0000,323.818,2643,853207,5,0,2643,855850,1.37,34.99,0.00
threshold_91,threshold,91,0.00,7,7,0,3,0.0062,0.0052,0.0031,0.0031,1.0000,323.790,2643,853134,78,0,2643,855777,1.37,132.01,0.34
threshold_93,threshold,93,0.00,7,7,0,3,0.0062,0.0071,0.0031,0.0031,1.0000,323.612,2643,852664,548,0,2643,855307,1.37,220.15,0.79
threshold_95,threshold,95,0.00,7,7,0,3,0.0062,0.0081,0.0031,0.0031,1.0000,322.772,2643,850443,2769,0,2643,853086,1.37,483.95,1.98
threshold_97,threshold,97,0.00,7,7,0,3,0.0062,0.0088,0.0031,0.0031,1.0000,319.609,2643,842084,11128,0,2643,844727,1.37,729.02,3.21
threshold_99,threshold,99,0.00,7,7,0,3,0.0064,0.0080,0.0032,0.0032,1.0000,309.666,2643,815805,37407,0,2643,818448,1.37,869.48,3.49
threshold_101,threshold,101,0.00,7,7,0,3,0.0070,0.0076,0.0035,0.0035,1.0000,285.820,2643,752778,100434,0,2643,755421,1.37,740.85,2.83
threshold_103,threshold,103,0.00,7,7,1,3,0.0082,0.0085,0.0041,0.0041,0.9977,241.475,2637,635582,217630,6,2643,638219,1.37,369.33,1.58
threshold_105,threshold,105,0.00,7,7,2,3,0.0111,0.0152,0.0056,0.0056,0.9974,179.061,2636,470623,382589,7,2643,473259,1.37,167.31,1.28
threshold_107,threshold,107,0.00,7,7,2,3,0.0174,0.0226,0.0088,0.0088,0.9939,113.210,2627,296586,556626,16,2643,299213,1.37,118.13,1.35
threshold_109,threshold,109,0.00,7,7,2,3,0.0324,0.0398,0.0164,0.0165,0.9886,60.097,2613,156223,696989,30,2643,158836,1.37,68.03,1.38
threshold_111,threshold,111,0.00,7,7,2,3,0.0674,0.0708,0.0349,0.0349,0.9731,27.869,2572,71086,782126,71,2643,73658,1.37,34.00,1.25
threshold_113,threshold,113,0.00,7,7,3,3,0.1427,0.1570,0.0768,0.0772,0.9444,12.237,2496,29846,823366,147,2643,32342,1.37,14.11,1.21
threshold_115,threshold,115,0.00,7,7,3,3,0.2679,0.2942,0.1547,0.1573,0.9047,5.753,2391,12814,840398,252,2643,15205,1.37,6.16,1.07
threshold_117,threshold,117,0.00,7,7,3,3,0.4169,0.4676,0.2634,0.2767,0.8449,3.053,2233,5836,847376,410,2643,8069,1.37,3.49,1.09
threshold_119,threshold,119,0.00,7,7,3,3,0.5434,0.6275,0.3731,0.4207,0.7673,1.824,2028,2793,850419,615,2643,4821,1.37,1.97,0.97
threshold_121,threshold,121,0.00,7,7,3,3,0.6101,0.7269,0.4390,0.5548,0.6776,1.221,1791,1437,851775,852,2643,3228,1.37,1.48,0.98
threshold_123,threshold,123,0.00,6,7,3,3,0.6284,0.7414,0.4582,0.6743,0.5883,0.872,1555,751,852461,1088,2643,2306,1.37,1.15,0.86
threshold_125,threshold,125,0.00,6,7,3,3,0.5942,0.7654,0.4227,0.7620,0.4869,0.639,1287,402,852810,1356,2643,1689,1.37,0.80,0.71
threshold_127,threshold,127,0.00,5,7,3,3,0.5126,0.7011,0.3446,0.8171,0.3734,0.457,987,221,852991,1656,2643,1208,1.37,0.73,0.64
threshold_129,threshold,129,0.00,3,7,3,3,0.4229,0.6303,0.2681,0.8674,0.2796,0.322,739,113,853099,1904,2643,852,1.37,0.53,0.50
threshold_131,threshold,131,0.00,3,7,3,3,0.3273,0.5226,0.1956,0.8966,0.2002,0.223,529,61,853151,2114,2643,590,1.37,0.38,0.35
threshold_133,threshold,133,0.00,0,7,3,3,0.2419,0.4180,0.1376,0.9386,0.1389,0.148,367,24,853188,2276,2643,391,1.37,0.29,0.26
threshold_135,threshold,135,0.00,0,7,3,3,0.1805,0.3390,0.0992,0.9705,0.0995,0.103,263,8,853204,2380,2643,271,1.37,0.22,0.22
threshold_137,threshold,137,0.00,0,7,3,3,0.1339,0.2519,0.0718,0.9794,0.0719,0.073,190,4,853208,2453,2643,194,1.37,0.17,0.17
threshold_139,threshold,139,0.00,0,7,3,3,0.0806,0.1680,0.0420,0.9911,0.0420,0.042,111,1,853211,2532,2643,112,1.37,0.10,0.10
threshold_141,threshold,141,0.00,0,7,3,3,0.0523,0.1152,0.0269,1.0000,0.0269,0.027,71,0,853212,2572,2643,71,1.37,0.08,0.08
threshold_143,threshold,143,0.00,0,7,3,3,0.0335,0.0756,0.0170,1.0000,0.0170,0.017,45,0,853212,2598,2643,45,1.37,0.05,0.05
threshold_145,threshold,145,0.00,0,7,3,3,0.0195,0.0427,0.0098,1.0000,0.0098,0.010,26,0,853212,2617,2643,26,1.37,0.03,0.03
threshold_147,threshold,147,0.00,0,7,3,3,0.0128,0.0343,0.0064,1.0000,0.0064,0.006,17,0,853212,2626,2643,17,1.37,0.01,0.01
threshold_149,threshold,149,0.00,0,7,3,3,0.0068,0.0000,0.0034,1.0000,0.0034,0.003,9,0,853212,2634,2643,9,1.37,0.00,0.00
threshold_151,threshold,151,0.00,0,7,3,3,0.0060,0.0259,0.0030,1.0000,0.0030,0.003,8,0,853212,2635,2643,8,1.37,0.01,0.01
threshold_153,threshold,153,0.00,0,7,3,3,0.0045,0.0173,0.0023,1.0000,0.0023,0.002,6,0,853212,2637,2643,6,1.37,0.01,0.01
threshold_155,threshold,155,0.00,0,7,3,3,0.0008,0.0000,0.0004,1.0000,0.0004,0.000,1,0,853212,2642,2643,1,1.37,0.01,0.01
threshold_157,threshold,157,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_159,threshold,159,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_161,threshold,161,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_163,threshold,163,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_165,threshold,165,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_167,threshold,167,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_169,threshold,169,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_171,threshold,171,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_173,threshold,173,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_175,threshold,175,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_177,threshold,177,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_179,threshold,179,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_181,threshold,181,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_183,threshold,183,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_185,threshold,185,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_187,threshold,187,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_189,threshold,189,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_191,threshold,191,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_193,threshold,193,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_195,threshold,195,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_197,threshold,197,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_199,threshold,199,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_201,threshold,201,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_203,threshold,203,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_205,threshold,205,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_207,threshold,207,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_209,threshold,209,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_211,threshold,211,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_213,threshold,213,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_215,threshold,215,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_217,threshold,217,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_219,threshold,219,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_221,threshold,221,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_223,threshold,223,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
threshold_225,threshold,225,0.00,0,7,3,3,0.0000,0.0000,0.0000,nan,0.0000,0.000,0,0,853212,2643,2643,0,1.37,0.00,0.00
