scan,method,variant,threshold_value,vessel_id,volume_voxels,length_mm,overlap_voxels,corresponding_ids,n_corresponding
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,1,65,0.036000000000000004,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,2,43,0.024000000000000004,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,3,177,0.08400000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,4,69,0.04200000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,5,226,0.09000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,6,50,0.030000000000000006,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,7,374,0.10200000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,8,36,0.024000000000000004,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,9,42,0.024000000000000004,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,10,90,0.0,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,11,137,0.024000000000000004,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,12,1876,0.37800000000000006,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,13,9,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,14,261,0.054000000000000006,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,15,716,0.21600000000000003,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,16,41,0.030000000000000006,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,17,9,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,18,92,0.04200000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,19,877,0.24000000000000005,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,20,599,0.138,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,21,39,0.024000000000000004,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,22,556,0.138,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,23,903,0.036000000000000004,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,24,395,0.10200000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,25,11234,1.0320000000000003,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,26,4037,0.9900000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,27,289,0.11400000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,28,30,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,29,1,0.0,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,30,1,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,31,1,0.0,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,32,3852,0.44400000000000006,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,33,1,0.0,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,34,101,0.018000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,ground_truth,,,35,493,0.09600000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,1,1,0.006000000000000001,1,1,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,2,1,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,3,1,0.006000000000000001,1,6,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,4,9,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,5,6,0.0,6,5,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,6,48,0.018000000000000002,48,7,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,7,7,0.006000000000000001,7,11,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,8,19,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,9,2,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,10,27,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,11,7,0.0,7,12,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,12,1,0.006000000000000001,1,12,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,13,29,0.024000000000000004,26,14,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,14,922,0.17400000000000002,883,12,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,15,28,0.018000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,16,1,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,17,20,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,18,5,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,19,6,0.0,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,20,52,0.006000000000000001,51,12,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,21,6,0.0,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,22,1,0.0,1,12,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,23,3,0.0,3,15,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,24,3,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,25,1,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,26,5,0.012000000000000002,5,18,1
