scan,method,variant,threshold_value,vessel_id,volume_voxels,length_mm,overlap_voxels,corresponding_ids,n_corresponding
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,ground_truth,,,1,231,0.12000000000000002,0,,0
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,ground_truth,,,2,43,0.024000000000000004,0,,0
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,ground_truth,,,3,300,0.19800000000000004,0,,0
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,ground_truth,,,4,25,0.036000000000000004,0,,0
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,ground_truth,,,5,999,0.45000000000000007,0,,0
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,ground_truth,,,6,160,0.12000000000000002,0,,0
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,ground_truth,,,7,10,0.006000000000000001,0,,0
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,ground_truth,,,8,16,0.012000000000000002,0,,0
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,ground_truth,,,9,208,0.09000000000000001,0,,0
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,ground_truth,,,10,32,0.012000000000000002,0,,0
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,ground_truth,,,11,319,0.138,0,,0
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,ground_truth,,,12,11,0.018000000000000002,0,,0
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,ground_truth,,,13,171,0.054000000000000006,0,,0
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,ground_truth,,,14,104,0.08400000000000002,0,,0
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,ground_truth,,,15,9,0.0,0,,0
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,ground_truth,,,16,5,0.012000000000000002,0,,0
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,threshold,best_dice,123,1,4,0.0,0,,0
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,threshold,best_dice,123,2,6,0.012000000000000002,0,,0
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,threshold,best_dice,123,3,1,0.0,0,,0
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,threshold,best_dice,123,4,1,0.0,0,,0
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,threshold,best_dice,123,5,47,0.024000000000000004,0,,0
