label,type,threshold_value,elapsed_s,vessel_seeds_correct,vessel_seeds_total,bg_seeds_correct,bg_seeds_total,pred_gt_dice,pred_gt_cldice,pred_gt_iou,pred_gt_precision,pred_gt_recall,pred_gt_vol,tp,fp,tn,fn,gt_voxels,pred_voxels,cl_len_gt_mm,cl_len_pred_mm,cl_match_pred_mm,variant,vessel_size,vessel_std,structure_strength,ridge_threshold,ridge_iterations,auto_seed_rounds,auto_seed_max
default_frangi_0.000,frangi,0.0,0.00,9,9,5,7,0.0100,0.0153,0.0050,0.0050,0.9289,184.673,14819,2931459,8130462,1135,15954,2946278,5.29,588.98,4.53,default,4,3,4,0.01,3,2,200
default_frangi_0.020,frangi,0.02,0.00,9,9,5,7,0.0101,0.0152,0.0051,0.0051,0.9280,182.627,14806,2898832,8163089,1148,15954,2913638,5.29,595.18,4.57,default,4,3,4,0.01,3,2,200
default_frangi_0.040,frangi,0.04,0.00,9,9,5,7,0.0103,0.0152,0.0052,0.0052,0.9267,178.267,14785,2829294,8232627,1169,15954,2844079,5.29,605.63,4.63,default,4,3,4,0.01,3,2,200
default_frangi_0.060,frangi,0.06,0.00,9,9,5,7,0.0107,0.0148,0.0054,0.0054,0.9246,171.857,14751,2727063,8334858,1203,15954,2741814,5.29,616.60,4.61,default,4,3,4,0.01,3,2,200
default_frangi_0.080,frangi,0.08,0.00,9,9,5,7,0.0112,0.0150,0.0056,0.0056,0.9221,163.807,14711,2598666,8463255,1243,15954,2613377,5.29,617.84,4.66,default,4,3,4,0.01,3,2,200
default_frangi_0.100,frangi,0.1,0.00,9,9,5,7,0.0118,0.0150,0.0059,0.0059,0.9183,154.882,14650,2456331,8605590,1304,15954,2470981,5.29,615.11,4.66,default,4,3,4,0.01,3,2,200
default_frangi_0.120,frangi,0.12,0.00,9,9,5,7,0.0125,0.0149,0.0063,0.0063,0.9138,145.645,14578,2309045,8752876,1376,15954,2323623,5.29,617.17,4.63,default,4,3,4,0.01,3,2,200
default_frangi_0.140,frangi,0.14,0.00,9,9,5,7,0.0132,0.0147,0.0066,0.0067,0.9085,136.527,14494,2163655,8898266,1460,15954,2178149,5.29,621.88,4.60,default,4,3,4,0.01,3,2,200
default_frangi_0.160,frangi,0.16,0.00,9,9,6,7,0.0140,0.0151,0.0071,0.0071,0.9023,127.657,14396,2022247,9039674,1558,15954,2036643,5.29,621.95,4.72,default,4,3,4,0.01,3,2,200
default_frangi_0.180,frangi,0.18,0.00,9,9,6,7,0.0149,0.0150,0.0075,0.0075,0.8963,119.160,14299,1886782,9175139,1655,15954,1901081,5.29,624.68,4.73,default,4,3,4,0.01,3,2,200
default_frangi_0.200,frangi,0.2,0.00,9,9,6,7,0.0159,0.0154,0.0080,0.0080,0.8893,111.040,14188,1757344,9304577,1766,15954,1771532,5.29,617.38,4.78,default,4,3,4,0.01,3,2,200
default_frangi_0.220,frangi,0.22,0.00,9,9,6,7,0.0169,0.0151,0.0085,0.0085,0.8814,103.291,14062,1633841,9428080,1892,15954,1647903,5.29,606.41,4.62,default,4,3,4,0.01,3,2,200
default_frangi_0.240,frangi,0.24,0.00,9,9,6,7,0.0180,0.0161,0.0091,0.0091,0.8742,95.897,13947,1516000,9545921,2007,15954,1529947,5.29,595.74,4.84,default,4,3,4,0.01,3,2,200
default_frangi_0.260,frangi,0.26,0.01,9,9,6,7,0.0193,0.0175,0.0097,0.0098,0.8667,88.886,13827,1404256,9657665,2127,15954,1418083,5.29,577.78,5.11,default,4,3,4,0.01,3,2,200
default_frangi_0.280,frangi,0.28,0.00,9,9,7,7,0.0206,0.0178,0.0104,0.0104,0.8581,82.213,13690,1297938,9763983,2264,15954,1311628,5.29,548.38,4.93,default,4,3,4,0.01,3,2,200
default_frangi_0.300,frangi,0.3,0.01,9,9,7,7,0.0221,0.0189,0.0112,0.0112,0.8489,75.852,13543,1196601,9865320,2411,15954,1210144,5.29,521.96,4.99,default,4,3,4,0.01,3,2,200
default_frangi_0.320,frangi,0.32,0.00,9,9,7,7,0.0237,0.0197,0.0120,0.0120,0.8392,69.861,13388,1101171,9960750,2566,15954,1114559,5.29,495.49,4.94,default,4,3,4,0.01,3,2,200
default_frangi_0.340,frangi,0.34,0.00,9,9,7,7,0.0255,0.0219,0.0129,0.0129,0.8299,64.168,13241,1010492,10051429,2713,15954,1023733,5.29,466.57,5.17,default,4,3,4,0.01,3,2,200
default_frangi_0.360,frangi,0.36,0.01,9,9,7,7,0.0274,0.0239,0.0139,0.0139,0.8195,58.860,13075,925975,10135946,2879,15954,939050,5.29,436.20,5.28,default,4,3,4,0.01,3,2,200
default_frangi_0.380,frangi,0.38,0.01,9,9,7,7,0.0295,0.0249,0.0150,0.0150,0.8087,53.846,12902,846164,10215757,3052,15954,859066,5.29,411.08,5.20,default,4,3,4,0.01,3,2,200
default_frangi_0.400,frangi,0.4,0.00,9,9,7,7,0.0318,0.0283,0.0162,0.0162,0.7983,49.154,12736,771472,10290449,3218,15954,784208,5.29,383.45,5.51,default,4,3,4,0.01,3,2,200
default_frangi_0.420,frangi,0.42,0.00,9,9,7,7,0.0344,0.0296,0.0175,0.0176,0.7861,44.770,12542,701718,10360203,3412,15954,714260,5.29,355.99,5.36,default,4,3,4,0.01,3,2,200
default_frangi_0.440,frangi,0.44,0.00,9,9,7,7,0.0372,0.0312,0.0190,0.0191,0.7754,40.685,12370,636717,10425204,3584,15954,649087,5.29,330.23,5.24,default,4,3,4,0.01,3,2,200
default_frangi_0.460,frangi,0.46,0.00,9,9,7,7,0.0403,0.0325,0.0205,0.0207,0.7626,36.892,12167,576400,10485521,3787,15954,588567,5.29,304.29,5.04,default,4,3,4,0.01,3,2,200
default_frangi_0.480,frangi,0.48,0.00,9,9,7,7,0.0438,0.0348,0.0224,0.0225,0.7529,33.412,12011,521047,10540874,3943,15954,533058,5.29,278.98,4.96,default,4,3,4,0.01,3,2,200
default_frangi_0.500,frangi,0.5,0.00,9,9,7,7,0.0475,0.0369,0.0243,0.0245,0.7404,30.184,11813,469743,10592178,4141,15954,481556,5.29,256.31,4.84,default,4,3,4,0.01,3,2,200
default_frangi_0.520,frangi,0.52,0.00,9,9,7,7,0.0518,0.0414,0.0266,0.0268,0.7301,27.198,11648,422271,10639650,4306,15954,433919,5.29,235.37,5.00,default,4,3,4,0.01,3,2,200
default_frangi_0.540,frangi,0.54,0.00,9,9,7,7,0.0565,0.0436,0.0291,0.0294,0.7193,24.468,11475,378892,10683029,4479,15954,390367,5.29,212.54,4.76,default,4,3,4,0.01,3,2,200
default_frangi_0.560,frangi,0.56,0.00,9,9,7,7,0.0616,0.0467,0.0318,0.0322,0.7070,21.962,11279,339102,10722819,4675,15954,350381,5.29,193.76,4.66,default,4,3,4,0.01,3,2,200
default_frangi_0.580,frangi,0.58,0.01,9,9,7,7,0.0672,0.0496,0.0347,0.0353,0.6953,19.709,11093,303343,10758578,4861,15954,314436,5.29,175.45,4.49,default,4,3,4,0.01,3,2,200
