label,type,threshold_value,elapsed_s,vessel_size,vessel_std,denoise_kernel,frangi_tiles_per_axis,intensity_likelihood,vessel_prior,ridge_threshold,ridge_iterations,auto_seed,auto_seed_rounds,auto_seed_max,auto_seed_intensity_sigma,component_min_prob,median_intensity,std_intensity,vessel_seeds_correct,vessel_seeds_total,bg_seeds_correct,bg_seeds_total,pred_gt_dice,pred_gt_cldice,pred_gt_iou,pred_gt_precision,pred_gt_recall,pred_gt_vol,cl_len_gt_mm,cl_len_pred_mm,cl_match_pred_mm
pipeline_1_default,pipeline,,53.15,4,4,8,2,True,0.1,0.01,3,True,2,200,2.0,0.05,182.00,25.71,4,9,13,14,0.2373,0.3703,0.1346,0.1592,0.4660,2.927,4.61,9.45,2.65
pipeline_2,pipeline,,36.01,3,4,6,2,True,0.1,0.01,3,True,2,200,2.0,0.05,182.00,25.71,4,9,14,14,0.3235,0.4420,0.1929,0.2387,0.5017,2.102,4.61,8.59,2.95
pipeline_3,pipeline,,25.82,2,3,8,2,True,0.1,0.01,3,True,2,200,2.0,0.05,182.00,25.71,5,9,14,14,0.3254,0.4569,0.1943,0.2970,0.3598,1.212,4.61,6.13,2.52
pipeline_4,pipeline,,31.78,3,4,6,2,True,0.1,0.060000000000000005,3,True,2,200,2.0,0.05,182.00,25.71,4,9,14,14,0.3225,0.4415,0.1922,0.2366,0.5061,2.139,4.61,8.55,2.93
pipeline_5,pipeline,,33.89,3,4,6,2,True,0.1,0.01,3,True,2,200,1.75,0.05,182.00,25.71,4,9,14,14,0.3052,0.4456,0.1801,0.2197,0.4997,2.275,4.61,8.47,2.94
pipeline_6,pipeline,,33.26,3,3,8,2,True,0.1,0.060000000000000005,3,True,2,200,1.75,0.05,182.00,25.71,5,9,13,14,0.2761,0.3795,0.1601,0.1996,0.4474,2.241,4.61,9.21,2.64
pipeline_7,pipeline,,35.75,3,3,8,2,True,0.05,0.060000000000000005,3,True,2,200,1.75,0.05,182.00,25.71,4,9,14,14,0.3052,0.4054,0.1801,0.2370,0.4286,1.809,4.61,7.79,2.56
pipeline_8,pipeline,,24.90,2,2,8,2,True,0.1,0.01,3,True,2,200,2.0,0.05,182.00,25.71,5,9,14,14,0.3212,0.4500,0.1913,0.3162,0.3263,1.032,4.61,6.19,2.55
pipeline_9,pipeline,,38.40,4,4,8,2,True,0.05,0.060000000000000005,3,True,2,200,1.75,0.05,182.00,25.71,4,9,14,14,0.2694,0.3822,0.1557,0.1899,0.4633,2.440,4.61,8.83,2.59
pipeline_10,pipeline,,43.33,4,4,8,2,True,0.1,0.11,3,True,2,200,1.75,0.05,182.00,25.71,4,9,14,14,0.2518,0.3758,0.1440,0.1703,0.4831,2.837,4.61,9.86,2.73
pipeline_11,pipeline,,48.21,4,4,12,2,True,0.1,0.11,3,True,2,200,1.75,0.05,182.00,25.71,1,9,14,14,0.2175,0.3038,0.1221,0.1484,0.4073,2.744,4.61,6.77,1.70
pipeline_12,pipeline,,51.69,4,4,12,2,True,0.05,0.11,3,True,2,200,1.85,0.05,182.00,25.71,1,9,14,14,0.2677,0.3377,0.1546,0.1968,0.4188,2.128,4.61,6.13,1.78
pipeline_12,pipeline,,60.33,4,4,12,2,True,0.05,0.01,3,True,2,200,1.85,0.05,182.00,25.71,4,9,14,14,0.3260,0.4284,0.1947,0.2435,0.4930,2.024,4.61,6.48,2.36
