label,type,threshold_value,elapsed_s,vessel_size,vessel_std,denoise_kernel,frangi_tiles_per_axis,intensity_likelihood,vessel_prior,ridge_threshold,ridge_iterations,auto_seed,auto_seed_rounds,auto_seed_max,auto_seed_intensity_sigma,component_min_prob,median_intensity,std_intensity,vessel_seeds_correct,vessel_seeds_total,bg_seeds_correct,bg_seeds_total,pred_gt_dice,pred_gt_cldice,pred_gt_iou,pred_gt_precision,pred_gt_recall,pred_gt_vol,cl_len_gt_mm,cl_len_pred_mm,cl_match_pred_mm
pipeline_1_default,pipeline,,49.00,4,4,8,2,True,0.1,0.01,3,True,2,200,2.0,0.05,125.00,7.82,7,7,2,3,0.0511,0.1596,0.0262,0.0262,0.9527,36.300,1.37,13.47,1.17
pipeline_2,pipeline,,40.28,3,4,6,2,True,0.1,0.01,3,True,2,200,2.0,0.05,125.00,7.82,7,7,3,3,0.0751,0.2063,0.0390,0.0391,0.9270,23.681,1.37,10.45,1.21
pipeline_3,pipeline,,27.70,2,3,8,2,True,0.1,0.01,3,True,2,200,2.0,0.05,125.00,7.82,7,7,3,3,0.1092,0.2829,0.0578,0.0582,0.8960,15.404,1.37,6.93,1.16
pipeline_4,pipeline,,35.82,3,4,6,2,True,0.1,0.060000000000000005,3,True,2,200,2.0,0.05,125.00,7.82,7,7,3,3,0.0751,0.2078,0.0390,0.0391,0.9251,23.645,1.37,10.42,1.21
pipeline_5,pipeline,,36.95,3,4,6,2,True,0.1,0.01,3,True,2,200,1.75,0.05,125.00,7.82,7,7,3,3,0.0757,0.2076,0.0394,0.0395,0.9236,23.390,1.37,10.43,1.21
pipeline_6,pipeline,,31.82,3,3,8,2,True,0.1,0.060000000000000005,3,True,2,200,1.75,0.05,125.00,7.82,7,7,2,3,0.0746,0.2014,0.0388,0.0388,0.9398,24.192,1.37,10.62,1.19
pipeline_7,pipeline,,31.86,3,3,8,2,True,0.05,0.060000000000000005,3,True,2,200,1.75,0.05,125.00,7.82,6,7,3,3,0.1179,0.3265,0.0627,0.0635,0.8282,13.046,1.37,5.06,1.03
pipeline_8,pipeline,,24.90,2,2,8,2,True,0.1,0.01,3,True,2,200,2.0,0.05,125.00,7.82,7,7,3,3,0.1046,0.2558,0.0552,0.0557,0.8456,15.171,1.37,7.92,1.18
pipeline_9,pipeline,,38.01,4,4,8,2,True,0.05,0.060000000000000005,3,True,2,200,1.75,0.05,125.00,7.82,7,7,2,3,0.0554,0.1737,0.0285,0.0285,0.9508,33.317,1.37,12.34,1.18
pipeline_10,pipeline,,43.64,4,4,8,2,True,0.1,0.11,3,True,2,200,1.75,0.05,125.00,7.82,7,7,2,3,0.0515,0.1639,0.0264,0.0265,0.9519,35.960,1.37,12.95,1.16
