label,type,threshold_value,elapsed_s,vessel_size,vessel_std,denoise_kernel,frangi_tiles_per_axis,intensity_likelihood,vessel_prior,ridge_threshold,ridge_iterations,auto_seed,auto_seed_rounds,auto_seed_max,auto_seed_intensity_sigma,component_min_prob,median_intensity,std_intensity,vessel_seeds_correct,vessel_seeds_total,bg_seeds_correct,bg_seeds_total,pred_gt_dice,pred_gt_cldice,pred_gt_iou,pred_gt_precision,pred_gt_recall,pred_gt_vol,cl_len_gt_mm,cl_len_pred_mm,cl_match_pred_mm
pipeline_1_default,pipeline,,53.60,4,4,8,2,True,0.1,0.01,3,True,2,200,2.0,0.05,191.00,33.73,7,7,10,10,0.3289,0.5681,0.1968,0.2208,0.6443,2.917,2.48,2.83,1.38
pipeline_2,pipeline,,48.05,3,4,6,2,True,0.1,0.01,3,True,2,200,2.0,0.05,191.00,33.73,7,7,10,10,0.2897,0.5290,0.1694,0.1961,0.5541,2.826,2.48,3.44,1.48
pipeline_3,pipeline,,40.05,2,3,8,2,True,0.1,0.01,3,True,2,200,2.0,0.05,191.00,33.73,6,7,10,10,0.4217,0.5788,0.2672,0.3616,0.5056,1.398,2.48,2.64,1.39
pipeline_4,pipeline,,46.24,3,4,6,2,True,0.1,0.060000000000000005,3,True,2,200,2.0,0.05,191.00,33.73,7,7,10,10,0.3009,0.5527,0.1771,0.1992,0.6142,3.083,2.48,3.80,1.62
pipeline_5,pipeline,,44.28,3,4,6,2,True,0.1,0.01,3,True,2,200,1.75,0.05,191.00,33.73,7,7,10,10,0.3307,0.5855,0.1981,0.2421,0.5215,2.154,2.48,2.73,1.45
pipeline_6,pipeline,,44.25,3,3,8,2,True,0.1,0.060000000000000005,3,True,2,200,1.75,0.05,191.00,33.73,6,7,10,10,0.3712,0.5479,0.2279,0.2742,0.5747,2.096,2.48,2.91,1.35
pipeline_7,pipeline,,45.18,3,3,8,2,True,0.05,0.060000000000000005,3,True,2,200,1.75,0.05,191.00,33.73,5,7,10,10,0.4035,0.6077,0.2528,0.3149,0.5616,1.783,2.48,2.23,1.31
pipeline_8,pipeline,,39.83,2,2,8,2,True,0.1,0.01,3,True,2,200,2.0,0.05,191.00,33.73,7,7,10,10,0.3804,0.5346,0.2349,0.3319,0.4453,1.342,2.48,2.91,1.37
pipeline_9,pipeline,,50.90,4,4,8,2,True,0.05,0.060000000000000005,3,True,2,200,1.75,0.05,191.00,33.73,7,7,10,10,0.2893,0.5500,0.1691,0.1867,0.6422,3.439,2.48,3.11,1.38
pipeline_10,pipeline,,52.49,4,4,8,2,True,0.1,0.11,3,True,2,200,1.75,0.05,191.00,33.73,7,7,10,10,0.2994,0.5674,0.1760,0.1899,0.7066,3.721,2.48,3.23,1.45
pipeline_11,pipeline,,52.71,4,4,12,2,True,0.1,0.11,3,True,2,200,1.75,0.05,191.00,33.73,5,7,10,10,0.3111,0.5348,0.1842,0.2072,0.6236,3.009,2.48,2.26,1.09
pipeline_12,pipeline,,56.76,4,4,12,2,True,0.05,0.11,3,True,2,200,1.85,0.05,191.00,33.73,5,7,10,10,0.3525,0.5821,0.2139,0.2379,0.6797,2.857,2.48,2.39,1.23
pipeline_12,pipeline,,57.50,4,4,12,2,True,0.05,0.01,3,True,2,200,1.85,0.05,191.00,33.73,5,7,10,10,0.3525,0.5821,0.2139,0.2379,0.6797,2.857,2.48,2.39,1.23
