label,type,threshold_value,elapsed_s,vessel_size,vessel_std,denoise_kernel,frangi_tiles_per_axis,intensity_likelihood,vessel_prior,ridge_threshold,ridge_iterations,auto_seed,auto_seed_rounds,auto_seed_max,auto_seed_intensity_sigma,component_min_prob,median_intensity,std_intensity,vessel_seeds_correct,vessel_seeds_total,bg_seeds_correct,bg_seeds_total,pred_gt_dice,pred_gt_cldice,pred_gt_iou,pred_gt_precision,pred_gt_recall,pred_gt_vol,cl_len_gt_mm,cl_len_pred_mm,cl_match_pred_mm
frangi_0.000,frangi,0.0,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,1,3,0.0112,0.0059,0.0056,0.0056,0.8630,152.997,1.37,501.70,1.48
frangi_0.025,frangi,0.025,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,1,3,0.0125,0.0062,0.0063,0.0063,0.8562,136.233,1.37,492.98,1.52
frangi_0.050,frangi,0.05,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,1,3,0.0135,0.0062,0.0068,0.0068,0.8487,124.747,1.37,494.03,1.54
frangi_0.075,frangi,0.075,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,1,3,0.0144,0.0064,0.0073,0.0073,0.8388,115.148,1.37,490.21,1.57
frangi_0.100,frangi,0.1,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,1,3,0.0154,0.0071,0.0078,0.0078,0.8256,106.269,1.37,481.66,1.72
frangi_0.125,frangi,0.125,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,1,3,0.0165,0.0073,0.0083,0.0083,0.8157,97.832,1.37,463.93,1.71
frangi_0.150,frangi,0.15,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,2,3,0.0178,0.0074,0.0090,0.0090,0.8086,89.617,1.37,445.71,1.66
frangi_0.175,frangi,0.175,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,2,3,0.0192,0.0078,0.0097,0.0097,0.7983,82.041,1.37,428.17,1.69
frangi_0.200,frangi,0.2,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,2,3,0.0207,0.0084,0.0105,0.0105,0.7881,75.058,1.37,404.64,1.70
frangi_0.225,frangi,0.225,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,2,3,0.0224,0.0089,0.0113,0.0114,0.7794,68.546,1.37,384.93,1.72
frangi_0.250,frangi,0.25,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,2,3,0.0242,0.0091,0.0122,0.0123,0.7666,62.415,1.37,365.75,1.67
frangi_0.275,frangi,0.275,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,2,3,0.0262,0.0096,0.0133,0.0133,0.7567,56.691,1.37,344.74,1.66
frangi_0.300,frangi,0.3,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,3,3,0.0285,0.0100,0.0144,0.0145,0.7476,51.529,1.37,325.16,1.64
frangi_0.325,frangi,0.325,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,3,3,0.0310,0.0104,0.0157,0.0158,0.7386,46.698,1.37,306.43,1.61
frangi_0.350,frangi,0.35,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,3,3,0.0336,0.0111,0.0171,0.0172,0.7291,42.366,1.37,287.42,1.61
frangi_0.375,frangi,0.375,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,3,3,0.0364,0.0114,0.0185,0.0187,0.7185,38.510,1.37,270.98,1.55
frangi_0.400,frangi,0.4,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,3,3,0.0392,0.0124,0.0200,0.0202,0.7056,34.972,1.37,255.23,1.60
frangi_0.425,frangi,0.425,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,3,3,0.0423,0.0130,0.0216,0.0218,0.6924,31.757,1.37,240.13,1.57
frangi_0.450,frangi,0.45,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,3,3,0.0458,0.0134,0.0234,0.0237,0.6826,28.799,1.37,224.31,1.51
frangi_0.475,frangi,0.475,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,3,3,0.0495,0.0142,0.0254,0.0257,0.6708,26.108,1.37,209.14,1.49
