label,type,threshold_value,elapsed_s,vessel_size,vessel_std,denoise_kernel,frangi_tiles_per_axis,intensity_likelihood,vessel_prior,ridge_threshold,ridge_iterations,auto_seed,auto_seed_rounds,auto_seed_max,auto_seed_intensity_sigma,component_min_prob,median_intensity,std_intensity,vessel_seeds_correct,vessel_seeds_total,bg_seeds_correct,bg_seeds_total,pred_gt_dice,pred_gt_cldice,pred_gt_iou,pred_gt_precision,pred_gt_recall,pred_gt_vol,cl_len_gt_mm,cl_len_pred_mm,cl_match_pred_mm
frangi_0.000,frangi,0.0,0.04,,,,,,,,,,,,,,213.00,39.27,14,14,6,9,0.0052,0.0061,0.0026,0.0026,0.7380,282.304,8.08,48975.53,150.29
frangi_0.025,frangi,0.025,0.07,,,,,,,,,,,,,,213.00,39.27,13,14,6,9,0.0055,0.0049,0.0028,0.0028,0.6782,245.914,8.08,49629.38,121.78
frangi_0.050,frangi,0.05,0.05,,,,,,,,,,,,,,213.00,39.27,13,14,6,9,0.0056,0.0043,0.0028,0.0028,0.6303,225.001,8.08,51342.82,111.96
frangi_0.075,frangi,0.075,0.04,,,,,,,,,,,,,,213.00,39.27,12,14,6,9,0.0056,0.0040,0.0028,0.0028,0.5849,207.172,8.08,52609.53,105.13
frangi_0.100,frangi,0.1,0.04,,,,,,,,,,,,,,213.00,39.27,11,14,6,9,0.0057,0.0037,0.0028,0.0028,0.5421,190.876,8.08,53267.15,97.52
frangi_0.125,frangi,0.125,0.04,,,,,,,,,,,,,,213.00,39.27,11,14,6,9,0.0057,0.0036,0.0029,0.0029,0.5037,175.772,8.08,53239.76,95.62
frangi_0.150,frangi,0.15,0.08,,,,,,,,,,,,,,213.00,39.27,11,14,6,9,0.0057,0.0036,0.0029,0.0029,0.4680,161.885,8.08,52571.54,93.86
frangi_0.175,frangi,0.175,0.07,,,,,,,,,,,,,,213.00,39.27,10,14,6,9,0.0058,0.0036,0.0029,0.0029,0.4347,149.186,8.08,51374.82,92.11
frangi_0.200,frangi,0.2,0.04,,,,,,,,,,,,,,213.00,39.27,7,14,6,9,0.0058,0.0035,0.0029,0.0029,0.4033,137.580,8.08,49750.40,87.82
frangi_0.225,frangi,0.225,0.07,,,,,,,,,,,,,,213.00,39.27,7,14,6,9,0.0059,0.0036,0.0029,0.0030,0.3744,126.891,8.08,47793.26,86.02
frangi_0.250,frangi,0.25,0.04,,,,,,,,,,,,,,213.00,39.27,6,14,6,9,0.0059,0.0036,0.0030,0.0030,0.3483,116.961,8.08,45577.63,83.50
frangi_0.275,frangi,0.275,0.06,,,,,,,,,,,,,,213.00,39.27,6,14,7,9,0.0060,0.0038,0.0030,0.0030,0.3244,107.679,8.08,43170.77,81.98
frangi_0.300,frangi,0.3,0.04,,,,,,,,,,,,,,213.00,39.27,5,14,7,9,0.0060,0.0039,0.0030,0.0030,0.3019,98.990,8.08,40664.10,79.18
frangi_0.325,frangi,0.325,0.04,,,,,,,,,,,,,,213.00,39.27,4,14,7,9,0.0061,0.0040,0.0031,0.0031,0.2816,90.834,8.08,38096.84,76.89
frangi_0.350,frangi,0.35,0.04,,,,,,,,,,,,,,213.00,39.27,3,14,7,9,0.0063,0.0042,0.0031,0.0032,0.2631,83.168,8.08,35526.34,75.05
frangi_0.375,frangi,0.375,0.04,,,,,,,,,,,,,,213.00,39.27,3,14,7,9,0.0064,0.0043,0.0032,0.0032,0.2449,75.982,8.08,33023.36,72.01
frangi_0.400,frangi,0.4,0.07,,,,,,,,,,,,,,213.00,39.27,3,14,7,9,0.0065,0.0045,0.0032,0.0033,0.2274,69.232,8.08,30594.20,69.68
frangi_0.425,frangi,0.425,0.07,,,,,,,,,,,,,,213.00,39.27,3,14,7,9,0.0066,0.0047,0.0033,0.0034,0.2122,62.906,8.08,28268.94,67.13
frangi_0.450,frangi,0.45,0.04,,,,,,,,,,,,,,213.00,39.27,3,14,7,9,0.0068,0.0049,0.0034,0.0035,0.1975,57.009,8.08,26077.01,64.47
frangi_0.475,frangi,0.475,0.05,,,,,,,,,,,,,,213.00,39.27,3,14,8,9,0.0070,0.0051,0.0035,0.0036,0.1836,51.511,8.08,24005.36,61.52
frangi_0.500,frangi,0.5,0.04,,,,,,,,,,,,,,213.00,39.27,3,14,8,9,0.0072,0.0053,0.0036,0.0037,0.1700,46.398,8.08,22060.75,58.75
frangi_0.525,frangi,0.525,0.04,,,,,,,,,,,,,,213.00,39.27,3,14,8,9,0.0074,0.0055,0.0037,0.0038,0.1576,41.658,8.08,20231.35,55.99
frangi_0.550,frangi,0.55,0.03,,,,,,,,,,,,,,213.00,39.27,3,14,8,9,0.0076,0.0056,0.0038,0.0039,0.1456,37.293,8.08,18519.13,52.91
frangi_0.575,frangi,0.575,0.05,,,,,,,,,,,,,,213.00,39.27,2,14,8,9,0.0078,0.0059,0.0039,0.0040,0.1343,33.275,8.08,16911.46,50.47
frangi_0.600,frangi,0.6,0.04,,,,,,,,,,,,,,213.00,39.27,1,14,8,9,0.0081,0.0061,0.0041,0.0042,0.1238,29.589,8.08,15388.16,47.48
frangi_0.625,frangi,0.625,0.04,,,,,,,,,,,,,,213.00,39.27,0,14,8,9,0.0084,0.0063,0.0042,0.0043,0.1140,26.213,8.08,13946.51,44.65
frangi_0.650,frangi,0.65,0.06,,,,,,,,,,,,,,213.00,39.27,0,14,8,9,0.0087,0.0065,0.0044,0.0045,0.1049,23.154,8.08,12595.19,41.96
frangi_0.675,frangi,0.675,0.05,,,,,,,,,,,,,,213.00,39.27,0,14,8,9,0.0090,0.0068,0.0045,0.0047,0.0959,20.371,8.08,11322.22,39.34
frangi_0.700,frangi,0.7,0.04,,,,,,,,,,,,,,213.00,39.27,0,14,8,9,0.0093,0.0070,0.0047,0.0049,0.0876,17.876,8.08,10134.41,36.65
frangi_0.725,frangi,0.725,0.04,,,,,,,,,,,,,,213.00,39.27,0,14,8,9,0.0096,0.0074,0.0048,0.0051,0.0801,15.623,8.08,9021.09,34.34
frangi_0.750,frangi,0.75,0.04,,,,,,,,,,,,,,213.00,39.27,0,14,8,9,0.0100,0.0077,0.0050,0.0054,0.0732,13.619,8.08,7999.05,32.03
frangi_0.775,frangi,0.775,0.04,,,,,,,,,,,,,,213.00,39.27,0,14,8,9,0.0104,0.0081,0.0052,0.0056,0.0667,11.821,8.08,7053.73,29.87
frangi_0.800,frangi,0.8,0.03,,,,,,,,,,,,,,213.00,39.27,0,14,8,9,0.0108,0.0085,0.0054,0.0059,0.0608,10.226,8.08,6187.20,27.56
frangi_0.825,frangi,0.825,0.04,,,,,,,,,,,,,,213.00,39.27,0,14,8,9,0.0113,0.0089,0.0057,0.0063,0.0554,8.824,8.08,5403.56,25.55
frangi_0.850,frangi,0.85,0.04,,,,,,,,,,,,,,213.00,39.27,0,14,9,9,0.0117,0.0094,0.0059,0.0066,0.0502,7.582,8.08,4693.22,23.67
frangi_0.875,frangi,0.875,0.04,,,,,,,,,,,,,,213.00,39.27,0,14,9,9,0.0121,0.0099,0.0061,0.0070,0.0456,6.501,8.08,4059.95,21.68
frangi_0.900,frangi,0.9,0.04,,,,,,,,,,,,,,213.00,39.27,0,14,9,9,0.0126,0.0105,0.0063,0.0074,0.0412,5.549,8.08,3495.66,19.93
frangi_0.925,frangi,0.925,0.04,,,,,,,,,,,,,,213.00,39.27,0,14,9,9,0.0130,0.0110,0.0065,0.0079,0.0371,4.728,8.08,2998.69,18.07
