label,type,threshold_value,elapsed_s,vessel_size,vessel_std,denoise_kernel,frangi_tiles_per_axis,intensity_likelihood,vessel_prior,ridge_threshold,ridge_iterations,auto_seed,auto_seed_rounds,auto_seed_max,auto_seed_intensity_sigma,component_min_prob,median_intensity,std_intensity,vessel_seeds_correct,vessel_seeds_total,bg_seeds_correct,bg_seeds_total,pred_gt_dice,pred_gt_cldice,pred_gt_iou,pred_gt_precision,pred_gt_recall,pred_gt_vol,cl_len_gt_mm,cl_len_pred_mm,cl_match_pred_mm
frangi_0.000,frangi,0.0,0.01,,,,,,,,,,,,,,138.00,9.16,9,9,4,7,0.0046,0.0032,0.0023,0.0023,0.7476,326.325,5.29,5496.65,8.68
frangi_0.025,frangi,0.025,0.00,,,,,,,,,,,,,,138.00,9.16,9,9,5,7,0.0050,0.0033,0.0025,0.0025,0.7221,288.112,5.29,5522.45,9.17
frangi_0.050,frangi,0.05,0.01,,,,,,,,,,,,,,138.00,9.16,9,9,5,7,0.0053,0.0032,0.0027,0.0027,0.7008,263.005,5.29,5518.02,8.96
frangi_0.075,frangi,0.075,0.00,,,,,,,,,,,,,,138.00,9.16,9,9,5,7,0.0056,0.0033,0.0028,0.0028,0.6791,241.755,5.29,5451.16,9.06
frangi_0.100,frangi,0.1,0.00,,,,,,,,,,,,,,138.00,9.16,9,9,5,7,0.0059,0.0033,0.0030,0.0030,0.6569,222.213,5.29,5337.26,8.93
frangi_0.125,frangi,0.125,0.00,,,,,,,,,,,,,,138.00,9.16,9,9,5,7,0.0062,0.0035,0.0031,0.0031,0.6363,203.664,5.29,5164.34,9.04
frangi_0.150,frangi,0.15,0.01,,,,,,,,,,,,,,138.00,9.16,9,9,5,7,0.0066,0.0037,0.0033,0.0033,0.6153,186.430,5.29,4974.35,9.19
frangi_0.175,frangi,0.175,0.01,,,,,,,,,,,,,,138.00,9.16,9,9,5,7,0.0069,0.0038,0.0035,0.0035,0.5955,170.486,5.29,4757.90,9.04
frangi_0.200,frangi,0.2,0.00,,,,,,,,,,,,,,138.00,9.16,9,9,6,7,0.0073,0.0039,0.0037,0.0037,0.5757,155.936,5.29,4535.99,8.93
frangi_0.225,frangi,0.225,0.00,,,,,,,,,,,,,,138.00,9.16,9,9,6,7,0.0078,0.0041,0.0039,0.0039,0.5567,142.628,5.29,4315.19,8.96
frangi_0.250,frangi,0.25,0.00,,,,,,,,,,,,,,138.00,9.16,9,9,6,7,0.0082,0.0043,0.0041,0.0041,0.5373,130.566,5.29,4099.98,8.79
frangi_0.275,frangi,0.275,0.00,,,,,,,,,,,,,,138.00,9.16,9,9,7,7,0.0086,0.0044,0.0043,0.0043,0.5198,119.515,5.29,3889.99,8.60
frangi_0.300,frangi,0.3,0.00,,,,,,,,,,,,,,138.00,9.16,9,9,7,7,0.0091,0.0044,0.0046,0.0046,0.5003,109.334,5.29,3687.22,8.20
frangi_0.325,frangi,0.325,0.00,,,,,,,,,,,,,,138.00,9.16,9,9,7,7,0.0096,0.0046,0.0048,0.0048,0.4844,99.963,5.29,3487.79,8.04
frangi_0.350,frangi,0.35,0.00,,,,,,,,,,,,,,138.00,9.16,9,9,7,7,0.0102,0.0048,0.0051,0.0051,0.4691,91.268,5.29,3295.16,7.91
frangi_0.375,frangi,0.375,0.00,,,,,,,,,,,,,,138.00,9.16,9,9,7,7,0.0108,0.0050,0.0054,0.0054,0.4529,83.135,5.29,3104.75,7.73
frangi_0.400,frangi,0.4,0.00,,,,,,,,,,,,,,138.00,9.16,9,9,7,7,0.0114,0.0051,0.0058,0.0058,0.4376,75.489,5.29,2916.29,7.53
frangi_0.425,frangi,0.425,0.00,,,,,,,,,,,,,,138.00,9.16,9,9,7,7,0.0122,0.0054,0.0061,0.0062,0.4221,68.294,5.29,2728.49,7.34
frangi_0.450,frangi,0.45,0.01,,,,,,,,,,,,,,138.00,9.16,9,9,7,7,0.0130,0.0057,0.0065,0.0066,0.4074,61.626,5.29,2544.69,7.27
frangi_0.475,frangi,0.475,0.00,,,,,,,,,,,,,,138.00,9.16,9,9,7,7,0.0139,0.0059,0.0070,0.0071,0.3934,55.428,5.29,2375.26,7.08
frangi_0.500,frangi,0.5,0.01,,,,,,,,,,,,,,138.00,9.16,9,9,7,7,0.0150,0.0062,0.0075,0.0076,0.3792,49.662,5.29,2205.20,6.82
frangi_0.525,frangi,0.525,0.00,,,,,,,,,,,,,,138.00,9.16,9,9,7,7,0.0162,0.0065,0.0082,0.0083,0.3675,44.378,5.29,2040.02,6.63
frangi_0.550,frangi,0.55,0.01,,,,,,,,,,,,,,138.00,9.16,9,9,7,7,0.0174,0.0068,0.0088,0.0089,0.3540,39.635,5.29,1889.21,6.50
frangi_0.575,frangi,0.575,0.01,,,,,,,,,,,,,,138.00,9.16,9,9,7,7,0.0188,0.0071,0.0095,0.0097,0.3417,35.359,5.29,1745.93,6.26
frangi_0.600,frangi,0.6,0.00,,,,,,,,,,,,,,138.00,9.16,9,9,7,7,0.0202,0.0075,0.0102,0.0104,0.3293,31.535,5.29,1610.81,6.11
frangi_0.625,frangi,0.625,0.00,,,,,,,,,,,,,,138.00,9.16,9,9,7,7,0.0219,0.0080,0.0111,0.0113,0.3177,28.069,5.29,1482.81,6.01
frangi_0.650,frangi,0.65,0.01,,,,,,,,,,,,,,138.00,9.16,9,9,7,7,0.0236,0.0089,0.0119,0.0123,0.3059,24.926,5.29,1358.69,6.06
frangi_0.675,frangi,0.675,0.01,,,,,,,,,,,,,,138.00,9.16,9,9,7,7,0.0256,0.0094,0.0130,0.0134,0.2944,22.025,5.29,1233.91,5.87
frangi_0.700,frangi,0.7,0.00,,,,,,,,,,,,,,138.00,9.16,9,9,7,7,0.0278,0.0102,0.0141,0.0146,0.2834,19.393,5.29,1117.57,5.75
frangi_0.725,frangi,0.725,0.00,,,,,,,,,,,,,,138.00,9.16,9,9,7,7,0.0302,0.0109,0.0153,0.0160,0.2714,16.958,5.29,1003.22,5.53
