label,type,threshold_value,elapsed_s,vessel_size,vessel_std,denoise_kernel,frangi_tiles_per_axis,intensity_likelihood,vessel_prior,ridge_threshold,ridge_iterations,auto_seed,auto_seed_rounds,auto_seed_max,auto_seed_intensity_sigma,component_min_prob,median_intensity,std_intensity,vessel_seeds_correct,vessel_seeds_total,bg_seeds_correct,bg_seeds_total,pred_gt_dice,pred_gt_cldice,pred_gt_iou,pred_gt_precision,pred_gt_recall,pred_gt_vol,cl_len_gt_mm,cl_len_pred_mm,cl_match_pred_mm
frangi_0.000,frangi,0.0,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,6,14,0.0086,0.0043,0.0043,0.0043,0.6428,148.438,4.61,4826.21,10.49
frangi_0.050,frangi,0.05,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,7,14,0.0097,0.0042,0.0049,0.0049,0.6156,126.341,4.61,4889.47,10.28
frangi_0.100,frangi,0.1,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,8,14,0.0108,0.0046,0.0054,0.0054,0.5881,108.044,4.61,4765.13,10.89
frangi_0.150,frangi,0.15,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,8,14,0.0123,0.0048,0.0062,0.0062,0.5635,90.944,4.61,4470.90,10.75
frangi_0.200,frangi,0.2,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,8,14,0.0140,0.0050,0.0071,0.0071,0.5395,75.837,4.61,4093.19,10.18
frangi_0.250,frangi,0.25,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,9,14,0.0162,0.0056,0.0082,0.0082,0.5166,62.889,4.61,3692.83,10.37
frangi_0.300,frangi,0.3,0.01,,,,,,,,,,,,,,182.00,25.71,9,9,9,14,0.0186,0.0062,0.0094,0.0095,0.4926,51.986,4.61,3305.38,10.30
frangi_0.350,frangi,0.35,0.01,,,,,,,,,,,,,,182.00,25.71,9,9,9,14,0.0214,0.0068,0.0108,0.0110,0.4683,42.756,4.61,2932.34,9.99
frangi_0.400,frangi,0.4,0.01,,,,,,,,,,,,,,182.00,25.71,9,9,10,14,0.0247,0.0076,0.0125,0.0127,0.4440,34.905,4.61,2573.06,9.82
frangi_0.450,frangi,0.45,0.01,,,,,,,,,,,,,,182.00,25.71,9,9,11,14,0.0289,0.0085,0.0147,0.0150,0.4212,28.098,4.61,2217.26,9.45
frangi_0.500,frangi,0.5,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,11,14,0.0344,0.0098,0.0175,0.0180,0.3997,22.226,4.61,1866.28,9.26
frangi_0.550,frangi,0.55,0.00,,,,,,,,,,,,,,182.00,25.71,9,9,12,14,0.0415,0.0113,0.0212,0.0220,0.3802,17.305,4.61,1546.99,8.81
frangi_0.600,frangi,0.6,0.01,,,,,,,,,,,,,,182.00,25.71,8,9,12,14,0.0503,0.0136,0.0258,0.0270,0.3609,13.354,4.61,1261.52,8.69
frangi_0.650,frangi,0.65,0.00,,,,,,,,,,,,,,182.00,25.71,8,9,12,14,0.0605,0.0165,0.0312,0.0332,0.3423,10.310,4.61,1021.88,8.52
frangi_0.700,frangi,0.7,0.01,,,,,,,,,,,,,,182.00,25.71,7,9,13,14,0.0721,0.0197,0.0374,0.0406,0.3228,7.957,4.61,821.98,8.25
frangi_0.750,frangi,0.75,0.00,,,,,,,,,,,,,,182.00,25.71,7,9,13,14,0.0857,0.0240,0.0448,0.0499,0.3045,6.101,4.61,647.63,7.92
frangi_0.800,frangi,0.8,0.00,,,,,,,,,,,,,,182.00,25.71,7,9,13,14,0.1029,0.0309,0.0543,0.0626,0.2888,4.610,4.61,497.18,7.90
frangi_0.850,frangi,0.85,0.00,,,,,,,,,,,,,,182.00,25.71,7,9,14,14,0.1230,0.0391,0.0655,0.0794,0.2731,3.440,4.61,371.12,7.52
frangi_0.900,frangi,0.9,0.01,,,,,,,,,,,,,,182.00,25.71,7,9,14,14,0.1443,0.0501,0.0778,0.1003,0.2572,2.565,4.61,275.25,7.23
frangi_0.950,frangi,0.95,0.00,,,,,,,,,,,,,,182.00,25.71,7,9,14,14,0.1651,0.0644,0.0899,0.1252,0.2422,1.935,4.61,204.82,7.04
