label,type,threshold_value,elapsed_s,vessel_size,vessel_std,denoise_kernel,frangi_tiles_per_axis,intensity_likelihood,vessel_prior,ridge_threshold,ridge_iterations,auto_seed,auto_seed_rounds,auto_seed_max,auto_seed_intensity_sigma,component_min_prob,median_intensity,std_intensity,vessel_seeds_correct,vessel_seeds_total,bg_seeds_correct,bg_seeds_total,pred_gt_dice,pred_gt_cldice,pred_gt_iou,pred_gt_precision,pred_gt_recall,pred_gt_vol,cl_len_gt_mm,cl_len_pred_mm,cl_match_pred_mm
frangi_0.000,frangi,0.0,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,1,3,0.0121,0.0067,0.0061,0.0061,0.8653,142.117,1.37,464.28,1.57
frangi_0.050,frangi,0.05,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,1,3,0.0138,0.0065,0.0070,0.0070,0.8521,122.094,1.37,462.28,1.50
frangi_0.100,frangi,0.1,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,1,3,0.0157,0.0074,0.0079,0.0079,0.8347,105.615,1.37,452.02,1.67
frangi_0.150,frangi,0.15,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,2,3,0.0179,0.0077,0.0090,0.0091,0.8146,89.958,1.37,424.70,1.64
frangi_0.200,frangi,0.2,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,2,3,0.0206,0.0081,0.0104,0.0104,0.7923,75.890,1.37,390.58,1.58
frangi_0.250,frangi,0.25,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,2,3,0.0239,0.0093,0.0121,0.0122,0.7703,63.335,1.37,354.12,1.66
frangi_0.300,frangi,0.3,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,3,3,0.0283,0.0102,0.0143,0.0144,0.7537,52.346,1.37,316.70,1.63
frangi_0.350,frangi,0.35,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,3,3,0.0334,0.0111,0.0170,0.0171,0.7351,43.017,1.37,281.72,1.58
frangi_0.400,frangi,0.4,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,3,3,0.0391,0.0122,0.0200,0.0201,0.7132,35.435,1.37,250.46,1.54
frangi_0.450,frangi,0.45,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,3,3,0.0460,0.0141,0.0236,0.0238,0.6909,29.026,1.37,220.15,1.56
frangi_0.500,frangi,0.5,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,3,3,0.0544,0.0154,0.0280,0.0284,0.6701,23.622,1.37,189.88,1.47
frangi_0.550,frangi,0.55,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,3,3,0.0649,0.0184,0.0336,0.0342,0.6462,18.908,1.37,160.63,1.49
frangi_0.600,frangi,0.6,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,3,3,0.0783,0.0214,0.0407,0.0418,0.6201,14.843,1.37,132.68,1.44
frangi_0.650,frangi,0.65,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,3,3,0.0960,0.0263,0.0504,0.0522,0.5986,11.468,1.37,106.82,1.43
frangi_0.700,frangi,0.7,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,3,3,0.1194,0.0325,0.0635,0.0665,0.5808,8.732,1.37,83.65,1.39
frangi_0.750,frangi,0.75,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,3,3,0.1471,0.0411,0.0794,0.0846,0.5626,6.648,1.37,65.32,1.37
frangi_0.800,frangi,0.8,0.00,,,,,,,,,,,,,,125.00,7.82,7,7,3,3,0.1765,0.0539,0.0968,0.1055,0.5411,5.130,1.37,51.30,1.43
frangi_0.850,frangi,0.85,0.00,,,,,,,,,,,,,,125.00,7.82,6,7,3,3,0.2075,0.0668,0.1157,0.1297,0.5176,3.990,1.37,40.00,1.39
frangi_0.900,frangi,0.9,0.00,,,,,,,,,,,,,,125.00,7.82,6,7,3,3,0.2395,0.0833,0.1361,0.1584,0.4915,3.104,1.37,30.72,1.35
frangi_0.950,frangi,0.95,0.00,,,,,,,,,,,,,,125.00,7.82,5,7,3,3,0.2800,0.1114,0.1628,0.1983,0.4760,2.400,1.37,23.01,1.38
