label,type,threshold_value,elapsed_s,vessel_size,vessel_std,denoise_kernel,frangi_tiles_per_axis,intensity_likelihood,vessel_prior,ridge_threshold,ridge_iterations,auto_seed,auto_seed_rounds,auto_seed_max,auto_seed_intensity_sigma,component_min_prob,median_intensity,std_intensity,vessel_seeds_correct,vessel_seeds_total,bg_seeds_correct,bg_seeds_total,pred_gt_dice,pred_gt_cldice,pred_gt_iou,pred_gt_precision,pred_gt_recall,pred_gt_vol,cl_len_gt_mm,cl_len_pred_mm,cl_match_pred_mm
frangi_0.000,frangi,0.0,0.05,,,,,,,,,,,,,,213.00,39.27,13,14,6,9,0.0053,0.0058,0.0027,0.0027,0.7185,269.950,8.08,46385.86,134.53
frangi_0.050,frangi,0.05,0.04,,,,,,,,,,,,,,213.00,39.27,12,14,6,9,0.0055,0.0042,0.0028,0.0028,0.6273,225.224,8.08,50538.54,105.41
frangi_0.100,frangi,0.1,0.04,,,,,,,,,,,,,,213.00,39.27,11,14,6,9,0.0056,0.0035,0.0028,0.0028,0.5498,194.503,8.08,52578.90,92.60
frangi_0.150,frangi,0.15,0.10,,,,,,,,,,,,,,213.00,39.27,11,14,6,9,0.0057,0.0033,0.0029,0.0029,0.4815,167.328,8.08,52231.55,87.29
frangi_0.200,frangi,0.2,0.03,,,,,,,,,,,,,,213.00,39.27,10,14,6,9,0.0058,0.0034,0.0029,0.0029,0.4217,143.406,8.08,49904.38,84.68
frangi_0.250,frangi,0.25,0.04,,,,,,,,,,,,,,213.00,39.27,8,14,6,9,0.0060,0.0035,0.0030,0.0030,0.3688,122.325,8.08,46104.63,80.06
frangi_0.300,frangi,0.3,0.05,,,,,,,,,,,,,,213.00,39.27,7,14,7,9,0.0062,0.0037,0.0031,0.0031,0.3221,103.552,8.08,41360.89,76.69
frangi_0.350,frangi,0.35,0.07,,,,,,,,,,,,,,213.00,39.27,5,14,7,9,0.0064,0.0040,0.0032,0.0032,0.2802,86.793,8.08,36215.03,73.40
frangi_0.400,frangi,0.4,0.07,,,,,,,,,,,,,,213.00,39.27,4,14,7,9,0.0066,0.0043,0.0033,0.0034,0.2420,71.945,8.08,31162.19,68.21
frangi_0.450,frangi,0.45,0.04,,,,,,,,,,,,,,213.00,39.27,4,14,7,9,0.0070,0.0048,0.0035,0.0036,0.2091,58.907,8.08,26475.46,63.65
frangi_0.500,frangi,0.5,0.07,,,,,,,,,,,,,,213.00,39.27,4,14,8,9,0.0073,0.0052,0.0037,0.0038,0.1786,47.611,8.08,22295.82,58.42
frangi_0.550,frangi,0.55,0.04,,,,,,,,,,,,,,213.00,39.27,4,14,8,9,0.0078,0.0056,0.0039,0.0040,0.1523,37.974,8.08,18629.71,52.64
frangi_0.600,frangi,0.6,0.03,,,,,,,,,,,,,,213.00,39.27,1,14,8,9,0.0083,0.0060,0.0042,0.0043,0.1289,29.889,8.08,15402.69,47.18
frangi_0.650,frangi,0.65,0.03,,,,,,,,,,,,,,213.00,39.27,0,14,8,9,0.0089,0.0065,0.0045,0.0047,0.1081,23.195,8.08,12539.62,41.76
frangi_0.700,frangi,0.7,0.03,,,,,,,,,,,,,,213.00,39.27,0,14,8,9,0.0096,0.0070,0.0048,0.0051,0.0898,17.764,8.08,10033.58,36.34
frangi_0.750,frangi,0.75,0.03,,,,,,,,,,,,,,213.00,39.27,0,14,8,9,0.0104,0.0078,0.0052,0.0056,0.0747,13.433,8.08,7873.97,31.93
frangi_0.800,frangi,0.8,0.04,,,,,,,,,,,,,,213.00,39.27,0,14,8,9,0.0112,0.0087,0.0056,0.0062,0.0618,10.018,8.08,6054.50,27.70
frangi_0.850,frangi,0.85,0.04,,,,,,,,,,,,,,213.00,39.27,0,14,9,9,0.0121,0.0097,0.0061,0.0069,0.0506,7.383,8.08,4569.42,23.63
frangi_0.900,frangi,0.9,0.03,,,,,,,,,,,,,,213.00,39.27,0,14,9,9,0.0130,0.0107,0.0065,0.0077,0.0413,5.371,8.08,3383.92,19.80
frangi_0.950,frangi,0.95,0.03,,,,,,,,,,,,,,213.00,39.27,0,14,9,9,0.0137,0.0118,0.0069,0.0086,0.0333,3.865,8.08,2466.37,16.28
