label,type,threshold_value,elapsed_s,vessel_size,vessel_std,denoise_kernel,frangi_tiles_per_axis,intensity_likelihood,vessel_prior,ridge_threshold,ridge_iterations,auto_seed,auto_seed_rounds,auto_seed_max,auto_seed_intensity_sigma,component_min_prob,median_intensity,std_intensity,vessel_seeds_correct,vessel_seeds_total,bg_seeds_correct,bg_seeds_total,pred_gt_dice,pred_gt_cldice,pred_gt_iou,pred_gt_precision,pred_gt_recall,pred_gt_vol,cl_len_gt_mm,cl_len_pred_mm,cl_match_pred_mm
frangi_0.000,frangi,0.0,0.01,,,,,,,,,,,,,,138.00,9.16,9,9,4,7,0.0049,0.0033,0.0024,0.0024,0.7406,302.572,5.29,5210.44,8.71
frangi_0.050,frangi,0.05,0.01,,,,,,,,,,,,,,138.00,9.16,9,9,5,7,0.0054,0.0033,0.0027,0.0027,0.7047,258.097,5.29,5242.40,8.62
frangi_0.100,frangi,0.1,0.01,,,,,,,,,,,,,,138.00,9.16,9,9,6,7,0.0060,0.0034,0.0030,0.0030,0.6685,222.192,5.29,5103.12,8.78
frangi_0.150,frangi,0.15,0.00,,,,,,,,,,,,,,138.00,9.16,9,9,6,7,0.0066,0.0036,0.0033,0.0033,0.6304,188.914,5.29,4806.52,8.77
frangi_0.200,frangi,0.2,0.00,,,,,,,,,,,,,,138.00,9.16,9,9,6,7,0.0074,0.0040,0.0037,0.0037,0.5923,159.483,5.29,4431.20,8.83
frangi_0.250,frangi,0.25,0.01,,,,,,,,,,,,,,138.00,9.16,9,9,6,7,0.0082,0.0042,0.0041,0.0041,0.5551,134.142,5.29,4037.23,8.55
frangi_0.300,frangi,0.3,0.00,,,,,,,,,,,,,,138.00,9.16,9,9,7,7,0.0091,0.0044,0.0046,0.0046,0.5156,112.425,5.29,3654.38,8.00
frangi_0.350,frangi,0.35,0.00,,,,,,,,,,,,,,138.00,9.16,9,9,7,7,0.0102,0.0046,0.0051,0.0052,0.4830,93.643,5.29,3274.97,7.56
frangi_0.400,frangi,0.4,0.01,,,,,,,,,,,,,,138.00,9.16,9,9,7,7,0.0115,0.0050,0.0058,0.0058,0.4495,77.095,5.29,2903.28,7.32
frangi_0.450,frangi,0.45,0.00,,,,,,,,,,,,,,138.00,9.16,9,9,7,7,0.0132,0.0056,0.0066,0.0067,0.4187,62.587,5.29,2532.91,7.10
frangi_0.500,frangi,0.5,0.01,,,,,,,,,,,,,,138.00,9.16,9,9,7,7,0.0152,0.0062,0.0077,0.0078,0.3889,50.140,5.29,2189.48,6.79
frangi_0.550,frangi,0.55,0.01,,,,,,,,,,,,,,138.00,9.16,9,9,7,7,0.0177,0.0069,0.0089,0.0091,0.3608,39.797,5.29,1872.80,6.53
frangi_0.600,frangi,0.6,0.01,,,,,,,,,,,,,,138.00,9.16,9,9,7,7,0.0206,0.0077,0.0104,0.0107,0.3351,31.458,5.29,1592.29,6.15
frangi_0.650,frangi,0.65,0.01,,,,,,,,,,,,,,138.00,9.16,9,9,7,7,0.0242,0.0088,0.0123,0.0126,0.3108,24.650,5.29,1334.23,5.95
frangi_0.700,frangi,0.7,0.00,,,,,,,,,,,,,,138.00,9.16,9,9,7,7,0.0287,0.0103,0.0146,0.0151,0.2869,18.985,5.29,1088.15,5.67
frangi_0.750,frangi,0.75,0.00,,,,,,,,,,,,,,138.00,9.16,9,9,7,7,0.0347,0.0121,0.0177,0.0186,0.2654,14.280,5.29,862.90,5.27
frangi_0.800,frangi,0.8,0.01,,,,,,,,,,,,,,138.00,9.16,9,9,7,7,0.0423,0.0148,0.0216,0.0231,0.2452,10.594,5.29,672.90,5.05
frangi_0.850,frangi,0.85,0.00,,,,,,,,,,,,,,138.00,9.16,8,9,7,7,0.0513,0.0178,0.0263,0.0290,0.2263,7.818,5.29,518.09,4.69
frangi_0.900,frangi,0.9,0.01,,,,,,,,,,,,,,138.00,9.16,8,9,7,7,0.0612,0.0220,0.0316,0.0359,0.2069,5.758,5.29,395.75,4.46
frangi_0.950,frangi,0.95,0.01,,,,,,,,,,,,,,138.00,9.16,8,9,7,7,0.0731,0.0280,0.0380,0.0452,0.1912,4.227,5.29,298.70,4.33
